Draft Year,Round,Pick,Team,Player,Position,College,Conference,Notes/Trades,
2010,1,1,St. Louis Rams,Sam Bradford ,QB,Oklahoma,Big 12,,
2010,1,2,Detroit Lions,Ndamukong Suh ,DT,Nebraska,Big 12,,
2010,1,3,Tampa Bay Buccaneers,Gerald McCoy ,DT,Oklahoma,Big 12,,
2010,1,4,Washington Redskins,Trent Williams ,OT,Oklahoma,Big 12,,
2010,1,5,Kansas City Chiefs,Eric Berry ,S,Tennessee,SEC,,
2010,1,6,Seattle Seahawks,Russell Okung ,OT,Oklahoma State,Big 12,,
2010,1,7,Cleveland Browns,Joe Haden ,CB,Florida,SEC,,
2010,1,8,Oakland Raiders,Rolando McClain ,LB,Alabama,SEC,,
2010,1,9,Buffalo Bills,C. J. Spiller ,RB,Clemson,ACC,,
2010,1,10,Jacksonville Jaguars,Tyson Alualu ,DT,California,Pac-10,,
2010,1,11,San Francisco 49ers,Anthony Davis ,OT,Rutgers,Big East,from Chicago via Denver[R1 - 1],
2010,1,12,San Diego Chargers,Ryan Mathews ,RB,Fresno State,WAC,from Miami [R1 - 2],
2010,1,13,Philadelphia Eagles,Brandon Graham ,DE,Michigan,Big Ten,from San Francisco via Denver[R1 - 3],
2010,1,14,Seattle Seahawks,Earl Thomas ,S,Texas,Big 12,from Denver [R1 - 4],
2010,1,15,New York Giants,Jason Pierre-Paul ,DE,South Florida,Big East,,
2010,1,16,Tennessee Titans,Derrick Morgan ,DE,Georgia Tech,ACC,,
2010,1,17,San Francisco 49ers,Mike Iupati ,G,Idaho,WAC,from Carolina [R1 - 5],
2010,1,18,Pittsburgh Steelers,Maurkice Pouncey ,C,Florida,SEC,,
2010,1,19,Atlanta Falcons,Sean Weatherspoon ,LB,Missouri,Big 12,,
2010,1,20,Houston Texans,Kareem Jackson ,CB,Alabama,SEC,,
2010,1,21,Cincinnati Bengals,Jermaine Gresham ,TE,Oklahoma,Big 12,,
2010,1,22,Denver Broncos,Demaryius Thomas ,WR,Georgia Tech,ACC,from New England [R1 - 6],
2010,1,23,Green Bay Packers,Bryan Bulaga ,OT,Iowa,Big Ten,,
2010,1,24,Dallas Cowboys,Dez Bryant ,WR,Oklahoma State,Big 12,from Philadelphia via Denver and New England[R1 - 7],
2010,1,25,Denver Broncos,Tim Tebow ,QB,Florida,SEC,from Baltimore [R1 - 8],
2010,1,26,Arizona Cardinals,Dan Williams ,DT,Tennessee,SEC,,
2010,1,27,New England Patriots,Devin McCourty ,CB,Rutgers,Big East,from Dallas[R1 - 9],
2010,1,28,Miami Dolphins,Jared Odrick ,DT,Penn State,Big Ten,from San Diego[R1 - 10],
2010,1,29,New York Jets,Kyle Wilson ,CB,Boise State,WAC,,
2010,1,30,Detroit Lions,Jahvid Best ,RB,California,Pac-10,from Minnesota [R1 - 11],
2010,1,31,Indianapolis Colts,Jerry Hughes ,DE,TCU,MWC,,
2010,1,32,New Orleans Saints,Patrick Robinson ,CB,Florida State,ACC,,
2010,2,33,St. Louis Rams,Rodger Saffold ,OT,Indiana,Big Ten,,
2010,2,34,Minnesota Vikings,Chris Cook ,CB,Virginia,ACC,from Detroit[R2 - 1],
2010,2,35,Tampa Bay Buccaneers,Brian Price ,DT,UCLA,Pac-10,,
2010,2,36,Kansas City Chiefs,Dexter McCluster ,RB,Ole Miss,SEC,,
2010,2,37,Philadelphia Eagles,Nate Allen ,S,South Florida,Big East,from Washington [R2 - 2],
2010,2,38,Cleveland Browns,T. J. Ward ,S,Oregon,Pac-10,,
2010,2,39,Tampa Bay Buccaneers,Arrelious Benn ,WR,Illinois,Big Ten,from Oakland [R2 - 3],
2010,2,40,Miami Dolphins,Koa Misi ,DE,Utah,MWC,from Seattle via San Diego[R2 - 4],
2010,2,41,Buffalo Bills,Torell Troup ,DT,UCF,C-USA,,
2010,2,42,New England Patriots,Rob Gronkowski ,TE,Arizona,Pac-10,from Chicago via Tampa Bay and Oakland[R2 - 5],
2010,2,43,Baltimore Ravens,Sergio Kindle ,DE,Texas,Big 12,from Miami via Denver[R2 - 6],
2010,2,44,Oakland Raiders,Lamarr Houston ,DE,Texas,Big 12,from Jacksonville via New England[R2 - 7],
2010,2,45,Denver Broncos,Zane Beadles ,OT,Utah,MWC,,
2010,2,46,New York Giants,Linval Joseph ,DT,East Carolina,C-USA,,
2010,2,47,Arizona Cardinals,Daryl Washington ,LB,TCU,MWC,from Tennessee via New England[R2 - 8],
2010,2,48,Carolina Panthers,Jimmy Clausen ,QB,Notre Dame,Ind. (FBS),,
2010,2,49,San Francisco 49ers,Taylor Mays ,S,USC,Pac-10,,
2010,2,50,Kansas City Chiefs,Javier Arenas ,CB,Alabama,SEC,from Atlanta [R2 - 9],
2010,2,51,Minnesota Vikings,Toby Gerhart ,RB,Stanford,Pac-10,from Houston [R2 - 10],
2010,2,52,Pittsburgh Steelers,Jason Worilds ,DE,Virginia Tech,ACC,,
2010,2,53,New England Patriots,Jermaine Cunningham ,DE,Florida,SEC,,
2010,2,54,Cincinnati Bengals,Carlos Dunlap ,DE,Florida,SEC,,
2010,2,55,Dallas Cowboys,Sean Lee ,LB,Penn State,Big Ten,from Philadelphia [R2 - 11],
2010,2,56,Green Bay Packers,Mike Neal ,DE,Purdue,Big Ten,,
2010,2,57,Baltimore Ravens,Terrence Cody ,DT,Alabama,SEC,,
2010,2,58,Houston Texans,Ben Tate ,RB,Auburn,SEC,from Arizona via New England[R2 - 12],
2010,2,59,Cleveland Browns,Montario Hardesty ,RB,Tennessee,SEC,from Dallas via Philadelphia[R2 - 13],
2010,2,60,Seattle Seahawks,Golden Tate ,WR,Notre Dame,Ind. (FBS),from San Diego[R2 - 14],
2010,2,61,New York Jets,Vladimir Ducasse ,OT,Massachusetts,CAA,,
2010,2,62,New England Patriots,Brandon Spikes ,LB,Florida,SEC,from Minnesota via Houston[R2 - 15],
2010,2,63,Indianapolis Colts,Pat Angerer ,LB,Iowa,Big Ten,,
2010,2,64,New Orleans Saints,Charles Brown ,OT,USC,Pac-10,,
2010,3,65,St. Louis Rams,Jerome Murphy ,CB,South Florida,Big East,,
2010,3,66,Detroit Lions,Amari Spievey ,CB,Iowa,Big Ten,,
2010,3,67,Tampa Bay Buccaneers,Myron Lewis ,CB,Vanderbilt,SEC,,
