Draft year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades
2011,1,1,Carolina Panthers,Cam Newton,QB,Auburn,SEC,2010Heisman Trophywinner[N 2]
2011,1,2,Denver Broncos,Von Miller,LB,Texas A&M,Big 12,
2011,1,3,Buffalo Bills,Marcell Dareus,DT,Alabama,SEC,
2011,1,4,Cincinnati Bengals,A. J. Green,WR,Georgia,SEC,
2011,1,5,Arizona Cardinals,Patrick Peterson,CB,LSU,SEC,
2011,1,6,Atlanta Falcons,Julio Jones,WR,Alabama,SEC,fromCleveland[R1 - 1]
2011,1,7,San Francisco 49ers,Aldon Smith,LB,Missouri,Big 12,
2011,1,8,Tennessee Titans,Jake Locker,QB,Washington,Pac-10,
2011,1,9,Dallas Cowboys,Tyron Smith,OT,USC,Pac-10,
2011,1,10,Jacksonville Jaguars,Blaine Gabbert,QB,Missouri,Big 12,fromWashington[R1 - 2]
2011,1,11,Houston Texans,J. J. Watt,DE,Wisconsin,Big Ten,
2011,1,12,Minnesota Vikings,Christian Ponder,QB,Florida State,ACC,
2011,1,13,Detroit Lions,Nick Fairley,DT,Auburn,SEC,
2011,1,14,St. Louis Rams,Robert Quinn,DE,North Carolina,ACC,
2011,1,15,Miami Dolphins,Mike Pouncey,C,Florida,SEC,
2011,1,16,Washington Redskins,Ryan Kerrigan,DE,Purdue,Big Ten,fromJacksonville[R1 - 3]
2011,1,17,New England Patriots,Nate Solder,OT,Colorado,Big 12,fromOakland[R1 - 4]
2011,1,18,San Diego Chargers,Corey Liuget,DT,Illinois,Big Ten,
2011,1,19,New York Giants,Prince Amukamara,CB,Nebraska,Big 12,
2011,1,20,Tampa Bay Buccaneers,Adrian Clayborn,DE,Iowa,Big Ten,
2011,1,21,Cleveland Browns,Phil Taylor Sr.,DT,Baylor,Big 12,fromKansas City[R1 - 5]
2011,1,22,Indianapolis Colts,Anthony Castonzo,OT,Boston College,ACC,
2011,1,23,Philadelphia Eagles,Danny Watkins,G,Baylor,Big 12,
2011,1,24,New Orleans Saints,Cameron Jordan,DE,California,Pac-10,
2011,1,25,Seattle Seahawks,James Carpenter,OT,Alabama,SEC,
2011,1,26,Kansas City Chiefs,Jonathan Baldwin,WR,Pittsburgh,Big East,fromAtlantaviaCleveland[R1 - 6]
2011,1,27,Baltimore Ravens,Jimmy Smith,CB,Colorado,Big 12,in lieu ofpick 26(time expired)[N 3]
2011,1,28,New Orleans Saints,Mark Ingram Jr.,RB,Alabama,SEC,"fromNew England[R1 - 7], 2009Heisman Trophywinner[N 4]"
2011,1,29,Chicago Bears,Gabe Carimi,OT,Wisconsin,Big Ten,
2011,1,30,New York Jets,Muhammad Wilkerson,DE,Temple,MAC,
2011,1,31,Pittsburgh Steelers,Cameron Heyward,DE,Ohio State,Big Ten,
2011,1,32,Green Bay Packers,Derek Sherrod,OT,Mississippi State,SEC,
2011,2,33,New England Patriots,Ras-I Dowling,CB,Virginia,ACC,fromCarolina[R2 - 1]
2011,2,34,Buffalo Bills,Aaron Williams,CB,Texas,Big 12,
2011,2,35,Cincinnati Bengals,Andy Dalton,QB,TCU,MWC,
2011,2,36,San Francisco 49ers,Colin Kaepernick,QB,Nevada,WAC,fromDenver[R2 - 2]
2011,2,37,Cleveland Browns,Jabaal Sheard,DE,Pittsburgh,Big East,
2011,2,38,Arizona Cardinals,Ryan Williams,RB,Virginia Tech,ACC,
2011,2,39,Tennessee Titans,Akeem Ayers,LB,UCLA,Pac-10,
2011,2,40,Dallas Cowboys,Bruce Carter,LB,North Carolina,ACC,
2011,2,41,Washington Redskins,Jarvis Jenkins,DT,Clemson,ACC,
2011,2,42,Houston Texans,Brooks Reed,DE,Arizona,Pac-10,
2011,2,43,Minnesota Vikings,Kyle Rudolph,TE,Notre Dame,Ind. (FBS),
2011,2,44,Detroit Lions,Titus Young,WR,Boise State,WAC,
2011,2,45,Denver Broncos,Rahim Moore,S,UCLA,Pac-10,fromSan Francisco[R2 - 3]
2011,2,46,Denver Broncos,Orlando Franklin,OT,Miami (FL),ACC,fromMiami[R2 - 4]
2011,2,47,St. Louis Rams,Lance Kendricks,TE,Wisconsin,Big Ten,
2011,2,48,Oakland Raiders,Stefen Wisniewski,C,Penn State,Big Ten,
2011,2,49,Indianapolis Colts,Ben Ijalana,OT,Villanova,CAA,fromJacksonvilleviaWashington[R2 - 5]
2011,2,50,San Diego Chargers,Marcus Gilchrist,CB,Clemson,ACC,
2011,2,51,Tampa Bay Buccaneers,Da'Quan Bowers,DE,Clemson,ACC,
2011,2,52,New York Giants,Marvin Austin,DT,North Carolina,ACC,
2011,2,53,Chicago Bears,Stephen Paea,DT,Oregon State,Pac-10,fromIndianapolisviaWashington[R2 - 6]
2011,2,54,Philadelphia Eagles,Jaiquawn Jarrett,S,Temple,MAC,
2011,2,55,Kansas City Chiefs,Rodney Hudson,G,Florida State,ACC,
2011,2,56,New England Patriots,Shane Vereen,RB,California,Pac-10,fromNew Orleans[R2 - 7]
2011,2,57,Detroit Lions,Mikel Leshoure,RB,Illinois,Big Ten,fromSeattle[R2 - 8]
2011,2,58,Baltimore Ravens,Torrey Smith,WR,Maryland,ACC,
2011,2,59,Cleveland Browns,Greg Little,WR,North Carolina,ACC,fromAtlanta[R2 - 9]
2011,2,60,Houston Texans,Brandon Harris,CB,Miami (FL),ACC,fromNew England[R2 - 10]
2011,2,61,San Diego Chargers,Jonas Mouton,LB,Michigan,Big Ten,fromNew York Jets[R2 - 11]
2011,2,62,Miami Dolphins,Daniel Thomas,RB,Kansas State,Big 12,fromChicagoviaWashington[R2 - 12]
2011,2,63,Pittsburgh Steelers,Marcus Gilbert,OT,Florida,SEC,
2011,2,64,Green Bay Packers,Randall Cobb,WR,Kentucky,SEC,
