Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades,
2016,1,1,Los Angeles Rams,Jared Goff ,QB,California,Pac-12,from Tennessee [R1 - 1],
2016,1,2,Philadelphia Eagles,Carson Wentz ,QB,North Dakota State,MVFC,from Cleveland [R1 - 2],
2016,1,3,San Diego Chargers,Joey Bosa ,DE,Ohio State,Big Ten,,
2016,1,4,Dallas Cowboys,Ezekiel Elliott ,RB,Ohio State,Big Ten,,
2016,1,5,Jacksonville Jaguars,Jalen Ramsey ,CB,Florida State,ACC,,
2016,1,6,Baltimore Ravens,Ronnie Stanley ,OT,Notre Dame,Ind. (FBS),,
2016,1,7,San Francisco 49ers,DeForest Buckner ,DE,Oregon,Pac-12,,
2016,1,8,Tennessee Titans,Jack Conklin ,OT,Michigan State,Big Ten,from Miami via Philadelphia and Cleveland [R1 - 3],
2016,1,9,Chicago Bears,Leonard Floyd ,LB,Georgia,SEC,from Tampa Bay [R1 - 4],
2016,1,10,New York Giants,Eli Apple ,CB,Ohio State,Big Ten,,
2016,1,11,Tampa Bay Buccaneers,Vernon Hargreaves ,CB,Florida,SEC,from Chicago [R1 - 5],
2016,1,12,New Orleans Saints,Sheldon Rankins ,DT,Louisville,ACC,,
2016,1,13,Miami Dolphins,Laremy Tunsil ,OT,Ole Miss,SEC,from Philadelphia [R1 - 6],
2016,1,14,Oakland Raiders,Karl Joseph ,S,West Virginia,Big 12,,
2016,1,15,Cleveland Browns,Corey Coleman ,WR,Baylor,Big 12,from Los Angeles via Tennessee [R1 - 7],
2016,1,16,Detroit Lions,Taylor Decker ,OT,Ohio State,Big Ten,,
2016,1,17,Atlanta Falcons,Keanu Neal ,S,Florida,SEC,,
2016,1,18,Indianapolis Colts,Ryan Kelly ,C,Alabama,SEC,,
2016,1,19,Buffalo Bills,Shaq Lawson ,DE,Clemson,ACC,,
2016,1,20,New York Jets,Darron Lee ,LB,Ohio State,Big Ten,,
2016,1,21,Houston Texans,Will Fuller ,WR,Notre Dame,Ind. (FBS),from Washington [R1 - 8],
2016,1,22,Washington Redskins,Josh Doctson ,WR,TCU,Big 12,from Houston [R1 - 9],
2016,1,23,Minnesota Vikings,Laquon Treadwell ,WR,Ole Miss,SEC,,
2016,1,24,Cincinnati Bengals,William Jackson ,CB,Houston,The American,,
2016,1,25,Pittsburgh Steelers,Artie Burns ,CB,Miami (FL),ACC,,
2016,1,26,Denver Broncos,Paxton Lynch ,QB,Memphis,The American,from Seattle [R1 - 10],
2016,1,27,Green Bay Packers,Kenny Clark ,DT,UCLA,Pac-12,,
2016,1,28,San Francisco 49ers,Joshua Garnett ,G,Stanford,Pac-12,from Kansas City [R1 - 11],
2016,1,29,Arizona Cardinals,Robert Nkemdiche ,DT,Ole Miss,SEC,,
2016,1,30,Carolina Panthers,Vernon Butler ,DT,Louisiana Tech,C-USA,,
2016,1,31,Seattle Seahawks,Germain Ifedi ,OT,Texas A&M,SEC,from Denver [R1 - 12],
2016,2,32,Cleveland Browns,Emmanuel Ogbah ,DE,Oklahoma State,Big 12,,
2016,2,33,Tennessee Titans,Kevin Dodd ,LB,Clemson,ACC,,
2016,2,34,Dallas Cowboys,Jaylon Smith ,LB,Notre Dame,Ind. (FBS),,
2016,2,35,San Diego Chargers,Hunter Henry ,TE,Arkansas,SEC,,
2016,2,36,Jacksonville Jaguars,Myles Jack ,LB,UCLA,Pac-12,from Baltimore [R2 - 1],
2016,2,37,Kansas City Chiefs,Chris Jones ,DT,Mississippi State,SEC,from San Francisco [R2 - 2],
2016,2,38,Miami Dolphins,Xavien Howard ,CB,Baylor,Big 12,from Jacksonville via Baltimore [R2 - 3],
2016,2,39,Tampa Bay Buccaneers,Noah Spence ,DE,Eastern Kentucky,OVC,,
2016,2,40,New York Giants,Sterling Shepard ,WR,Oklahoma,Big 12,,
2016,2,41,Buffalo Bills,Reggie Ragland ,LB,Alabama,SEC,from Chicago [R2 - 4],
2016,2,42,Baltimore Ravens,Kamalei Correa ,LB,Boise State,MW,from Miami [R2 - 5],
2016,2,43,Tennessee Titans,Austin Johnson ,DT,Penn State,Big Ten,from Philadelphia via Los Angeles [R2 - 6],
2016,2,44,Oakland Raiders,Jihad Ward ,DE,Illinois,Big Ten,,
2016,2,45,Tennessee Titans,Derrick Henry ,RB,Alabama,SEC,from Los Angeles [R2 - 7],
2016,2,46,Detroit Lions,A'Shawn Robinson ,DT,Alabama,SEC,,
2016,2,47,New Orleans Saints,Michael Thomas ,WR,Ohio State,Big Ten,,
2016,2,48,Green Bay Packers,Jason Spriggs ,OT,Indiana,Big Ten,from Indianapolis [R2 - 8],
2016,2,49,Seattle Seahawks,Jarran Reed ,DT,Alabama,SEC,from Buffalo via Chicago [R2 - 9],
2016,2,50,Houston Texans,Nick Martin ,C,Notre Dame,Ind. (FBS),from Atlanta [R2 - 10],
2016,2,51,New York Jets,Christian Hackenberg ,QB,Penn State,Big Ten,,
2016,2,52,Atlanta Falcons,Deion Jones ,LB,LSU,SEC,from Houston [R2 - 11],
2016,2,53,Washington Redskins,Su'a Cravens ,LB,USC,Pac-12,,
2016,2,54,Minnesota Vikings,Mackensie Alexander ,CB,Clemson,ACC,,
2016,2,55,Cincinnati Bengals,Tyler Boyd ,WR,Pittsburgh,ACC,,
2016,2,56,Chicago Bears,Cody Whitehair ,G,Kansas State,Big 12,from Seattle [R2 - 12],
2016,2,57,Indianapolis Colts,T. J. Green ,CB,Clemson,ACC,from Green Bay [R2 - 13],
2016,2,58,Pittsburgh Steelers,Sean Davis ,S,Maryland,Big Ten,,
2016,2,59,Tampa Bay Buccaneers,Roberto Aguayo ,K,Florida State,ACC,from Kansas City [R2 - 14],
2016,2,60,New England Patriots,Cyrus Jones ,CB,Alabama,SEC,,
2016,2,61,New Orleans Saints,Vonn Bell ,S,Ohio State,Big Ten,from Arizona via New England [R2 - 15],
2016,2,62,Carolina Panthers,James Bradberry ,CB,Samford,SoCon,,
2016,2,63,Denver Broncos,Adam Gotsis ,DT,Georgia Tech,ACC,,
2016,3,64,Tennessee Titans,Kevin Byard ,S,Middle Tennessee State,C-USA,,
2016,3,65,Cleveland Browns,Carl Nassib ,DE,Penn State,Big Ten,,
2016,3,66,San Diego Chargers,Max Tuerk ,C,USC,Pac-12,,
2016,3,67,Dallas Cowboys,Maliek Collins ,DT,Nebraska,Big Ten,,
2016,3,68,San Francisco 49ers,Will Redmond ,CB,Mississippi State,SEC,,
2016,3,69,Jacksonville Jaguars,Yannick Ngakoue ,DE,Maryland,Big Ten,,
2016,3,70,Baltimore Ravens,Bronson Kaufusi ,DE,BYU,Ind. (FBS),,
2016,3,71,New York Giants,Darian Thompson ,S,Boise State,MW,,
2016,3,72,Chicago Bears,Jonathan Bullard ,DT,Florida,SEC,,
2016,3,73,Miami Dolphins,Kenyan Drake ,RB,Alabama,SEC,,
2016,3,74,Kansas City Chiefs,KeiVarae Russell ,CB,Notre Dame,Ind. (FBS),from Tampa Bay [R3 - 1],
2016,3,75,Oakland Raiders,Shilique Calhoun ,DE,Michigan State,Big Ten,,
2016,3,76,Cleveland Browns,Shon Coleman ,OT,Auburn,SEC,from Los Angeles via Tennessee [R3 - 2],
