Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes
2013,1,1,Kansas City Chiefs,Eric Fisher,OT,Central Michigan,MAC,[11]
2013,1,2,Jacksonville Jaguars,Luke Joeckel,OT,Texas A&M,SEC,
2013,1,3,Miami Dolphins,Dion Jordan,DE,Oregon,Pac-12,fromOakland[R1 - 1]
2013,1,4,Philadelphia Eagles,Lane Johnson,OT,Oklahoma,Big 12,
2013,1,5,Detroit Lions,Ezekiel Ansah,DE,BYU,Ind. (FBS),
2013,1,6,Cleveland Browns,Barkevious Mingo,DE,LSU,SEC,
2013,1,7,Arizona Cardinals,Jonathan Cooper,G,North Carolina,ACC,
2013,1,8,St. Louis Rams,Tavon Austin,WR,West Virginia,Big 12,fromBuffalo[R1 - 2]
2013,1,9,New York Jets,Dee Milliner,CB,Alabama,SEC,
2013,1,10,Tennessee Titans,Chance Warmack,G,Alabama,SEC,
2013,1,11,San Diego Chargers,D. J. Fluker,OT,Alabama,SEC,
2013,1,12,Oakland Raiders,D. J. Hayden,CB,Houston,C-USA,fromMiami[R1 - 3]
2013,1,13,New York Jets,Sheldon Richardson,DT,Missouri,SEC,fromTampa Bay[R1 - 4]
2013,1,14,Carolina Panthers,Star Lotulelei,DT,Utah,Pac-12,
2013,1,15,New Orleans Saints,Kenny Vaccaro,S,Texas,Big 12,
2013,1,16,Buffalo Bills,EJ Manuel,QB,Florida State,ACC,fromSt. Louis[R1 - 5]
2013,1,17,Pittsburgh Steelers,Jarvis Jones,LB,Georgia,SEC,
2013,1,18,San Francisco 49ers,Eric Reid,S,LSU,SEC,fromDallas[R1 - 6]
2013,1,19,New York Giants,Justin Pugh,OT,Syracuse,Big East,
2013,1,20,Chicago Bears,Kyle Long,G,Oregon,Pac-12,
2013,1,21,Cincinnati Bengals,Tyler Eifert,TE,Notre Dame,Ind. (FBS),
2013,1,22,Atlanta Falcons,Desmond Trufant,CB,Washington,Pac-12,fromWashingtonviaSt. Louis[R1 - 7]
2013,1,23,Minnesota Vikings,Sharrif Floyd,DT,Florida,SEC,
2013,1,24,Indianapolis Colts,Björn Werner,DE,Florida State,ACC,
2013,1,25,Minnesota Vikings,Xavier Rhodes,CB,Florida State,ACC,fromSeattle[R1 - 8]
2013,1,26,Green Bay Packers,Datone Jones,DE,UCLA,Pac-12,
2013,1,27,Houston Texans,DeAndre Hopkins,WR,Clemson,ACC,
2013,1,28,Denver Broncos,Sylvester Williams,DT,North Carolina,ACC,
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,WR,Tennessee,SEC,fromNew England[R1 - 9]
2013,1,30,St. Louis Rams,Alec Ogletree,LB,Georgia,SEC,fromAtlanta[R1 - 10]
2013,1,31,Dallas Cowboys,Travis Frederick,C,Wisconsin,Big Ten,fromSan Francisco[R1 - 11]
2013,1,32,Baltimore Ravens,Matt Elam,S,Florida,SEC,
2013,2,33,Jacksonville Jaguars,Johnathan Cyprien,S,FIU,Sun Belt,
2013,2,34,Tennessee Titans,Justin Hunter,WR,Tennessee,SEC,fromKansas CityviaSan Francisco[R2 - 1]
2013,2,35,Philadelphia Eagles,Zach Ertz,TE,Stanford,Pac-12,
2013,2,36,Detroit Lions,Darius Slay,CB,Mississippi State,SEC,
2013,2,37,Cincinnati Bengals,Giovani Bernard,RB,North Carolina,ACC,fromOakland[R2 - 2]
2013,2,38,San Diego Chargers,Manti Te'o,LB,Notre Dame,Ind. (FBS),fromArizona[R2 - 3]
2013,2,39,New York Jets,Geno Smith,QB,West Virginia,Big 12,
2013,2,40,San Francisco 49ers,Tank Carradine,DE,Florida State,ACC,fromTennessee[R2 - 4]
2013,2,41,Buffalo Bills,Robert Woods,WR,USC,Pac-12,
2013,2,42,Oakland Raiders,Menelik Watson,OT,Florida State,ACC,fromMiami[R2 - 5]
2013,2,43,Tampa Bay Buccaneers,Johnthan Banks,CB,Mississippi State,SEC,
2013,2,44,Carolina Panthers,Kawann Short,DT,Purdue,Big Ten,
2013,2,45,Arizona Cardinals,Kevin Minter,LB,LSU,SEC,fromSan Diego[R2 - 6]
2013,2,46,Buffalo Bills,Kiko Alonso,LB,Oregon,Pac-12,fromSt. Louis[R2 - 7]
2013,2,47,Dallas Cowboys,Gavin Escobar,TE,San Diego State,MW,
2013,2,48,Pittsburgh Steelers,Le'Veon Bell,RB,Michigan State,Big Ten,
2013,2,49,New York Giants,Johnathan Hankins,DT,Ohio State,Big Ten,
2013,2,50,Chicago Bears,Jonathan Bostic,LB,Florida,SEC,
2013,2,51,Washington Redskins,David Amerson,CB,N.C. State,ACC,
2013,2,52,New England Patriots,Jamie Collins,LB,Southern Miss,C-USA,fromMinnesota[R2 - 8]
2013,2,53,Cincinnati Bengals,Margus Hunt,DE,SMU,C-USA,
2013,2,54,Miami Dolphins,Jamar Taylor,CB,Boise State,MW,fromIndianapolis[R2 - 9]
2013,2,55,San Francisco 49ers,Vance McDonald,TE,Rice,C-USA,fromGreen Bay[R2 - 10]
2013,2,56,Baltimore Ravens,Arthur Brown,LB,Kansas State,Big 12,fromSeattle[R2 - 11]
2013,2,57,Houston Texans,D.J. Swearinger,S,South Carolina,SEC,
2013,2,58,Denver Broncos,Montee Ball,RB,Wisconsin,Big Ten,
2013,2,59,New England Patriots,Aaron Dobson,WR,Marshall,C-USA,
2013,2,60,Atlanta Falcons,Robert Alford,CB,Southeastern Louisiana,Southland,
2013,2,61,Green Bay Packers,Eddie Lacy,RB,Alabama,SEC,fromSan Francisco[R2 - 12]
2013,2,62,Seattle Seahawks,Christine Michael,RB,Texas A&M,SEC,fromBaltimore[R2 - 13]
2013,3,63,Kansas City Chiefs,Travis Kelce,TE,Cincinnati,Big East,
2013,3,64,Jacksonville Jaguars,Dwayne Gratz,CB,Connecticut,Big East,
2013,3,65,Detroit Lions,Larry Warford,G,Kentucky,SEC,
2013,3,66,Oakland Raiders,Sio Moore,LB,Connecticut,Big East,
2013,3,67,Philadelphia Eagles,Bennie Logan,DT,LSU,SEC,
2013,3,68,Cleveland Browns,Leon McFadden,CB,San Diego State,MW,
2013,3,69,Arizona Cardinals,Tyrann Mathieu,CB,LSU,SEC,
2013,3,70,Tennessee Titans,Blidi Wreh-Wilson,CB,Connecticut,Big East,
2013,3,71,St. Louis Rams,T. J. McDonald,S,USC,Pac-12,fromBuffalo[R3 - 1]
2013,3,72,New York Jets,Brian Winters,G,Kent State,MAC,
2013,3,73,Tampa Bay Buccaneers,Mike Glennon,QB,N.C. State,ACC,
2013,3,74,Dallas Cowboys,Terrance Williams,WR,Baylor,Big 12,fromCarolinaviaSan Francisco[R3 - 2]
2013,3,75,New Orleans Saints,Terron Armstead,OT,Arkansas–Pine Bluff,SWAC,
2013,3,76,San Diego Chargers,Keenan Allen,WR,California,Pac-12,
2013,3,77,Miami Dolphins,Dallas Thomas,G,Tennessee,SEC,
2013,3,78,Buffalo Bills,Marquise Goodwin,WR,Texas,Big 12,fromSt. Louis[R3 - 3]
2013,3,79,Pittsburgh Steelers,Markus Wheaton,WR,Oregon State,Pac-12,
2013,3,80,Dallas Cowboys,J. J. Wilcox,S,Georgia Southern,SoCon,
2013,3,81,New York Giants,Damontre Moore,DE,Texas A&M,SEC,
2013,3,82,New Orleans Saints,John Jenkins,DT,Georgia,SEC,fromChicagoviaMiami[R3 - 4]
2013,3,83,New England Patriots,Logan Ryan,CB,Rutgers,Big East,fromMinnesota[R3 - 5]
2013,3,84,Cincinnati Bengals,Shawn Williams,S,Georgia,SEC,
2013,3,85,Washington Redskins,Jordan Reed,TE,Florida,SEC,
2013,3,86,Indianapolis Colts,Hugh Thornton,G,Illinois,Big Ten,
2013,3,87,Seattle Seahawks,Jordan Hill,DT,Penn State,Big Ten,
2013,3,88,San Francisco 49ers,Corey Lemonier,DE,Auburn,SEC,fromGreen Bay[R3 - 6]
2013,3,89,Houston Texans,Brennan Williams,OT,North Carolina,ACC,
2013,3,90,Denver Broncos,Kayvon Webster,CB,South Florida,Big East,
2013,3,91,New England Patriots,Duron Harmon,S,Rutgers,Big East,
2013,3,92,St. Louis Rams,Stedman Bailey,WR,West Virginia,Big 12,fromAtlanta[R3 - 7]
2013,3,93,Miami Dolphins,Will Davis,CB,Utah State,WAC,fromSan FranciscoviaGreen Bay[R3 - 8]
2013,3,94,Baltimore Ravens,Brandon Williams,DT,Missouri Southern State,MIAA,
2013,3,95,Houston Texans,Sam Montgomery,DE,LSU,SEC,
2013,3,96,Kansas City Chiefs,Knile Davis,RB,Arkansas,SEC,
2013,3,97,Tennessee Titans,Zaviar Gooden,LB,Missouri,SEC,
2013,4,98,Philadelphia Eagles,Matt Barkley,QB,USC,Pac-12,fromJacksonville[R4 - 1]
2013,4,99,Kansas City Chiefs,Nico Johnson,LB,Alabama,SEC,
2013,4,100,Tampa Bay Buccaneers,Akeem Spence,DT,Illinois,Big Ten,fromOakland[R4 - 2]
2013,4,101,Jacksonville Jaguars,Ace Sanders,WR,South Carolina,SEC,fromPhiladelphia[R4 - 3]
2013,4,102,New England Patriots,Josh Boyce,WR,TCU,Big 12,fromDetroitviaMinnesota[R4 - 4]
2013,4,103,Arizona Cardinals,Alex Okafor,DE,Texas,Big 12,
2013,4,104,Miami Dolphins,Jelani Jenkins,LB,Florida,SEC,fromCleveland[R4 - 5]
2013,4,105,Buffalo Bills,Duke Williams,S,Nevada,MW,
2013,4,106,Miami Dolphins,Dion Sims,TE,Michigan State,Big Ten,fromNew York JetsviaNew Orleans[R4 - 6]
2013,4,107,Tennessee Titans,Brian Schwenke,C,California,Pac-12,
2013,4,108,Carolina Panthers,Edmund Kugbila,G,Valdosta State,Gulf South,
2013,4,109,Green Bay Packers,David Bakhtiari,OT,Colorado,Pac-12,fromNew OrleansviaMiami[R4 - 7]
2013,4,110,New York Giants,Ryan Nassib,QB,Syracuse,Big East,fromSan DiegoviaArizona[R4 - 8]
2013,4,111,Pittsburgh Steelers,Shamarko Thomas,S,Syracuse,Big East,fromMiamiviaCleveland[R4 - 9]
2013,4,112,Oakland Raiders,Tyler Wilson,QB,Arkansas,SEC,fromTampa Bay[R4 - 10]
2013,4,113,St. Louis Rams,Barrett Jones,G,Alabama,SEC,
2013,4,114,Dallas Cowboys,B. W. Webb,CB,William & Mary,CAA,
2013,4,115,Pittsburgh Steelers,Landry Jones,QB,Oklahoma,Big 12,
2013,4,116,Arizona Cardinals,Earl Watford,G,James Madison,CAA,fromNew York Giants[R4 - 11]
2013,4,117,Chicago Bears,Khaseem Greene,LB,Rutgers,Big East,
2013,4,118,Cincinnati Bengals,Sean Porter,LB,Texas A&M,SEC,
2013,4,119,Washington Redskins,Phillip Thomas,S,Fresno State,MW,
2013,4,120,Minnesota Vikings,Gerald Hodges,LB,Penn State,Big Ten,
2013,4,121,Indianapolis Colts,Khaled Holmes,C,USC,Pac-12,
2013,4,122,Green Bay Packers,JC Tretter,OT,Cornell,Ivy,
2013,4,123,Seattle Seahawks,Chris Harper,WR,Kansas State,Big 12,
2013,4,124,Houston Texans,Trevardo Williams,DE,Connecticut,Big East,
2013,4,125,Green Bay Packers,Johnathan Franklin,RB,UCLA,Pac-12,fromDenver[R4 - 12]
2013,4,126,Tampa Bay Buccaneers,William Gholston,DE,Michigan State,Big Ten,fromNew England[R4 - 13]
2013,4,127,Atlanta Falcons,Malliciah Goodman,DE,Clemson,ACC,
2013,4,128,San Francisco 49ers,Quinton Patton,WR,Louisiana Tech,WAC,
2013,4,129,Baltimore Ravens,John Simon,DE,Ohio State,Big Ten,
2013,4,130,Baltimore Ravens,Kyle Juszczyk,FB,Harvard,Ivy,
2013,4,131,San Francisco 49ers,Marcus Lattimore,RB,South Carolina,SEC,
2013,4,132,Detroit Lions,Devin Taylor,DE,South Carolina,SEC,
2013,4,133,Atlanta Falcons,Levine Toilolo,TE,Stanford,Pac-12,
2013,5,134,Kansas City Chiefs,Sanders Commings,CB,Georgia,SEC,
2013,5,135,Jacksonville Jaguars,Denard Robinson,RB,Michigan,Big Ten,
2013,5,136,Philadelphia Eagles,Earl Wolff,S,N.C. State,ACC,
2013,5,137,Seattle Seahawks,Jesse Williams,DT,Alabama,SEC,fromDetroit[R5 - 1]
2013,5,138,Seattle Seahawks,Tharold Simon,CB,LSU,SEC,fromOakland[R5 - 2]
2013,5,139,Indianapolis Colts,Montori Hughes,DT,UT Martin,OVC,fromCleveland[R5 - 3]
2013,5,140,Arizona Cardinals,Stepfan Taylor,RB,Stanford,Pac-12,
2013,5,141,New York Jets,Oday Aboushi,G,Virginia,ACC,
2013,5,142,Tennessee Titans,Lavar Edwards,DE,LSU,SEC,
2013,5,143,Buffalo Bills,Jonathan Meeks,S,Clemson,ACC,
2013,5,144,New Orleans Saints,Kenny Stills,WR,Oklahoma,Big 12,
2013,5,145,San Diego Chargers,Steve Williams,CB,California,Pac-12,
2013,5,146,Denver Broncos,Quanterus Smith,DE,WKU,Sun Belt,fromMiamiviaGreen Bay[R5 - 4]
2013,5,147,Tampa Bay Buccaneers,Steven Means,LB,Buffalo,MAC,
2013,5,148,Carolina Panthers,A. J. Klein,LB,Iowa State,Big 12,
2013,5,149,St. Louis Rams,Brandon McGee,CB,Miami (FL),ACC,
2013,5,150,Pittsburgh Steelers,Terry Hawthorne,CB,Illinois,Big Ten,
2013,5,151,Dallas Cowboys,Joseph Randle,RB,Oklahoma State,Big 12,
2013,5,152,New York Giants,Cooper Taylor,S,Richmond,CAA,
2013,5,153,Atlanta Falcons,Stansly Maponga,DE,TCU,Big 12,fromChicago[R5 - 5]
2013,5,154,Washington Redskins,Chris Thompson,RB,Florida State,ACC,
2013,5,155,Minnesota Vikings,Jeff Locke,P,UCLA,Pac-12,
2013,5,156,Cincinnati Bengals,Tanner Hawkinson,OT,Kansas,Big 12,
2013,5,157,San Francisco 49ers,Quinton Dial,DE,Alabama,SEC,fromIndianapolis[R5 - 6]
2013,5,158,Seattle Seahawks,Luke Willson,TE,Rice,C-USA,
