Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades
2018,1,1,Cleveland Browns,Baker Mayfield ,QB,Oklahoma,Big 12,2017 Heisman Trophy winner
2018,1,2,New York Giants,Saquon Barkley ,RB,Penn State,Big Ten,2018 NFL Offensive Rookie of the Year
2018,1,3,New York Jets,Sam Darnold ,QB,USC,Pac-12,from Indianapolis [R1 - 1]
2018,1,4,Cleveland Browns,Denzel Ward ,CB,Ohio State,Big Ten,from Houston [R1 - 2]
2018,1,5,Denver Broncos,Bradley Chubb ,LB,NC State,ACC,
2018,1,6,Indianapolis Colts,Quenton Nelson ,G,Notre Dame,Ind. (FBS),from NY Jets [R1 - 3]
2018,1,7,Buffalo Bills,Josh Allen ,QB,Wyoming,MW,from Tampa Bay [R1 - 4]
2018,1,8,Chicago Bears,Roquan Smith ,LB,Georgia,SEC,
2018,1,9,San Francisco 49ers,Mike McGlinchey ,OT,Notre Dame,Ind. (FBS),
2018,1,10,Arizona Cardinals,Josh Rosen ,QB,UCLA,Pac-12,from Oakland [R1 - 5]
2018,1,11,Miami Dolphins,Minkah Fitzpatrick ,S,Alabama,SEC,
2018,1,12,Tampa Bay Buccaneers,Vita Vea ,NT,Washington,Pac-12,from Cincinnati via Buffalo [R1 - 6]
2018,1,13,Washington Redskins,Daron Payne ,NT,Alabama,SEC,
2018,1,14,New Orleans Saints,Marcus Davenport ,DE,UTSA,C-USA,from Green Bay [R1 - 7]
2018,1,15,Oakland Raiders,Kolton Miller ,OT,UCLA,Pac-12,from Arizona [R1 - 8]
2018,1,16,Buffalo Bills,Tremaine Edmunds ,LB,Virginia Tech,ACC,from Baltimore [R1 - 9]
2018,1,17,Los Angeles Chargers,Derwin James ,S,Florida State,ACC,
2018,1,18,Green Bay Packers,Jaire Alexander ,CB,Louisville,ACC,from Seattle [R1 - 10]
2018,1,19,Dallas Cowboys,Leighton Vander Esch ,LB,Boise State,MW,
2018,1,20,Detroit Lions,Frank Ragnow ,C,Arkansas,SEC,
2018,1,21,Cincinnati Bengals,Billy Price ,C,Ohio State,Big Ten,from Buffalo [R1 - 11]
2018,1,22,Tennessee Titans,Rashaan Evans ,LB,Alabama,SEC,from Kansas City via Buffalo and Baltimore [R1 - 12]
2018,1,23,New England Patriots,Isaiah Wynn ,OT,Georgia,SEC,from LA Rams [R1 - 13]
2018,1,24,Carolina Panthers,D. J. Moore ,WR,Maryland,Big Ten,
2018,1,25,Baltimore Ravens,Hayden Hurst ,TE,South Carolina,SEC,from Tennessee [R1 - 14]
2018,1,26,Atlanta Falcons,Calvin Ridley ,WR,Alabama,SEC,
2018,1,27,Seattle Seahawks,Rashaad Penny ,RB,San Diego State,MW,from New Orleans via Green Bay [R1 - 15]
2018,1,28,Pittsburgh Steelers,Terrell Edmunds ,S,Virginia Tech,ACC,
2018,1,29,Jacksonville Jaguars,Taven Bryan ,DT,Florida,SEC,
2018,1,30,Minnesota Vikings,Mike Hughes ,CB,UCF,The American,
2018,1,31,New England Patriots,Sony Michel ,RB,Georgia,SEC,
2018,1,32,Baltimore Ravens,Lamar Jackson ,QB,Louisville,ACC,from Philadelphia [R1 - 16]
2018,2,33,Cleveland Browns,Austin Corbett ,OT,Nevada,MW,
2018,2,34,New York Giants,Will Hernandez ,G,UTEP,C-USA,
2018,2,35,Cleveland Browns,Nick Chubb ,RB,Georgia,SEC,from Houston [R2 - 1]
2018,2,36,Indianapolis Colts,Darius Leonard ,LB,South Carolina State,MEAC,
2018,2,37,Indianapolis Colts,Braden Smith ,G,Auburn,SEC,from NY Jets [R2 - 2]
2018,2,38,Tampa Bay Buccaneers,Ronald Jones II ,RB,USC,Pac-12,
2018,2,39,Chicago Bears,James Daniels ,C,Iowa,Big Ten,
2018,2,40,Denver Broncos,Courtland Sutton ,WR,SMU,The American,
2018,2,41,Tennessee Titans,Harold Landry ,LB,Boston College,ACC,from Oakland [R2 - 3]
2018,2,42,Miami Dolphins,Mike Gesicki ,TE,Penn State,Big Ten,
2018,2,43,Detroit Lions,Kerryon Johnson ,RB,Auburn,SEC,from San Francisco via New England [R2 - 4]
2018,2,44,San Francisco 49ers,Dante Pettis ,WR,Washington,Pac-12,from Washington [R2 - 5]
2018,2,45,Green Bay Packers,Josh Jackson ,CB,Iowa,Big Ten,
2018,2,46,Kansas City Chiefs,Breeland Speaks ,DE,Ole Miss,SEC,from Cincinnati [R2 - 6]
2018,2,47,Arizona Cardinals,Christian Kirk ,WR,Texas A&M,SEC,
2018,2,48,Los Angeles Chargers,Uchenna Nwosu ,LB,USC,Pac-12,
2018,2,49,Philadelphia Eagles,Dallas Goedert ,TE,South Dakota State,MVFC,from Seattle via NY Jets and Indianapolis [R2 - 7]
2018,2,50,Dallas Cowboys,Connor Williams ,G,Texas,Big 12,
2018,2,51,Chicago Bears,Anthony Miller ,WR,Memphis,The American,from Detroit via New England [R2 - 8]
2018,2,52,Indianapolis Colts,Kemoko Turay ,DE,Rutgers,Big Ten,from Baltimore via Philadelphia [R2 - 9]
2018,2,53,Tampa Bay Buccaneers,M. J. Stewart ,CB,North Carolina,ACC,from Buffalo [R2 - 10]
2018,2,54,Cincinnati Bengals,Jessie Bates ,S,Wake Forest,ACC,from Kansas City [R2 - 11]
2018,2,55,Carolina Panthers,Donte Jackson ,CB,LSU,SEC,
2018,2,56,New England Patriots,Duke Dawson ,CB,Florida,SEC,from LA Rams via Buffalo and Tampa Bay [R2 - 12]
2018,2,57,Oakland Raiders,P. J. Hall ,DT,Sam Houston State,Southland,from Tennessee [R2 - 13]
2018,2,58,Atlanta Falcons,Isaiah Oliver ,CB,Colorado,Pac-12,
2018,2,59,Washington Redskins,Derrius Guice ,RB,LSU,SEC,from New Orleans via San Francisco [R2 - 14]
2018,2,60,Pittsburgh Steelers,James Washington ,WR,Oklahoma State,Big 12,2017 Fred Biletnikoff Award Winner
2018,2,61,Jacksonville Jaguars,D. J. Chark ,WR,LSU,SEC,
2018,2,62,Minnesota Vikings,Brian O'Neill ,OT,Pittsburgh,ACC,
2018,2,63,Tampa Bay Buccaneers,Carlton Davis ,CB,Auburn,SEC,from New England [R2 - 15]
2018,2,64,Indianapolis Colts,Tyquan Lewis ,DE,Ohio State,Big Ten,from Philadelphia via Cleveland [R2 - 16]
2018,3,65,Oakland Raiders,Brandon Parker ,OT,North Carolina A&T,MEAC,from Cleveland via Buffalo and Baltimore [R3 - 1]
2018,3,66,New York Giants,Lorenzo Carter ,LB,Georgia,SEC,
2018,3,67,Cleveland Browns,Chad Thomas ,DE,Miami (FL),ACC,from Indianapolis [R3 - 2]
2018,3,68,Houston Texans,Justin Reid ,S,Stanford,Pac-12,
2018,3,69,New York Giants,B. J. Hill ,DT,NC State,ACC,from Tampa Bay [R3 - 3]
2018,3,70,San Francisco 49ers,Fred Warner ,LB,BYU,Ind. (FBS),from Chicago [R3 - 4]
2018,3,71,Denver Broncos,Royce Freeman ,RB,Oregon,Pac-12,
2018,3,72,New York Jets,Nathan Shepherd ,DT,Fort Hays State,MIAA,
2018,3,73,Miami Dolphins,Jerome Baker ,LB,Ohio State,Big Ten,
2018,3,74,Washington Redskins,Geron Christian ,OT,Louisville,ACC,from San Francisco [R3 - 5]
2018,3,75,Kansas City Chiefs,Derrick Nnadi ,DT,Florida State,ACC,from Oakland via Baltimore [R3 - 6]
2018,3,76,Pittsburgh Steelers,Mason Rudolph ,QB,Oklahoma State,Big 12,from Green Bay via Seattle [R3 - 7]
2018,3,77,Cincinnati Bengals,Sam Hubbard ,DE,Ohio State,Big Ten,
2018,3,78,Cincinnati Bengals,Malik Jefferson ,LB,Texas,Big 12,from Washington via Kansas City [R3 - 8]
2018,3,79,Seattle Seahawks,Rasheem Green ,DE,USC,Pac-12,from Oakland via Arizona and Pittsburgh [R3 - 9]
2018,3,80,Houston Texans,Martinas Rankin ,OT,Mississippi State,SEC,from Seattle [R3 - 10]
2018,3,81,Dallas Cowboys,Michael Gallup ,WR,Colorado State,MW,
2018,3,82,Detroit Lions,Tracy Walker ,S,Louisiana,Sun Belt,
2018,3,83,Baltimore Ravens,Orlando Brown ,OT,Oklahoma,Big 12,
2018,3,84,Los Angeles Chargers,Justin Jones ,DT,NC State,ACC,
2018,3,85,Carolina Panthers,Rashaan Gaulden ,CB,Tennessee,SEC,from Buffalo [R3 - 11]
2018,3,86,Baltimore Ravens,Mark Andrews ,TE,Oklahoma,Big 12,from Kansas City [R3 - 12]
2018,3,87,Oakland Raiders,Arden Key ,DE,LSU,SEC,from LA Rams [R3 - 13]
2018,3,88,Green Bay Packers,Oren Burks ,LB,Vanderbilt,SEC,from Carolina [R3 - 14]
2018,3,89,Los Angeles Rams,Joseph Noteboom ,OT,TCU,Big 12,from Tennessee via Oakland [R3 - 15]
2018,3,90,Atlanta Falcons,Deadrin Senat ,DT,South Florida,The American,
2018,3,91,New Orleans Saints,Tre'Quan Smith ,WR,UCF,The American,
2018,3,92,Pittsburgh Steelers,Chukwuma Okorafor ,OT,Western Michigan,MAC,
2018,3,93,Jacksonville Jaguars,Ronnie Harrison ,S,Alabama,SEC,
2018,3,94,Tampa Bay Buccaneers,Alex Cappa ,OT,Humboldt State,GNAC,from Minnesota [R3 - 16]
2018,3,95,San Francisco 49ers,Tarvarius Moore ,S,Southern Miss,C-USA,from New England [R3 - 17]
2018,3,96,Buffalo Bills,Harrison Phillips ,DT,Stanford,Pac-12,from Philadelphia [R3 - 18]
2018,3,97,Arizona Cardinals,Mason Cole ,C,Michigan,Big Ten,
2018,3,98,Houston Texans,Jordan Akins ,TE,UCF,The American,
2018,3,99,Denver Broncos,Isaac Yiadom ,CB,Boston College,ACC,
2018,3,100,Kansas City Chiefs,Dorian O'Daniel ,LB,Clemson,ACC,from Cincinnati [R3 - 19]
2018,4,101,Carolina Panthers,Ian Thomas ,TE,Indiana,Big Ten,from Cleveland via Green Bay [R4 - 1]
2018,4,102,Minnesota Vikings,Jalyn Holmes ,DE,Ohio State,Big Ten,from NY Giants via Tampa Bay [R4 - 2]
2018,4,103,Houston Texans,Keke Coutee ,WR,Texas Tech,Big 12,
2018,4,104,Indianapolis Colts,Nyheim Hines ,RB,NC State,ACC,
2018,4,105,Cleveland Browns,Antonio Callaway ,WR,Florida,SEC,from Chicago via New England [R4 - 3]
2018,4,106,Denver Broncos,Josey Jewell ,LB,Iowa,Big Ten,
2018,4,107,New York Jets,Chris Herndon ,TE,Miami (FL),ACC,
2018,4,108,New York Giants,Kyle Lauletta ,QB,Richmond,CAA,from Tampa Bay [R4 - 4]
2018,4,109,Washington Redskins,Troy Apke ,S,Penn State,Big Ten,from San Francisco via Denver [R4 - 5]
2018,4,110,Oakland Raiders,Nick Nelson ,CB,Wisconsin,Big Ten,
2018,4,111,Los Angeles Rams,Brian Allen ,C,Michigan State,Big Ten,From Miami [R4 - 6]
2018,4,112,Cincinnati Bengals,Mark Walton ,RB,Miami (FL),ACC,
2018,4,113,Denver Broncos,DaeSean Hamilton ,WR,Penn State,Big Ten,from Washington [R4 - 7]
2018,4,114,Detroit Lions,Da'Shawn Hand ,DE,Alabama,SEC,from Green Bay via Cleveland and New England [R4 - 8]
2018,4,115,Chicago Bears,Joel Iyiegbuniwe ,LB,Western Kentucky,C-USA,from Arizona [R4 - 9]
2018,4,116,Dallas Cowboys,Dorance Armstrong ,DE,Kansas,Big 12,
2018,4,117,Tampa Bay Buccaneers,Jordan Whitehead ,S,Pittsburgh,ACC,from Detroit via New England [R4 - 10]
2018,4,118,Baltimore Ravens,Anthony Averett ,CB,Alabama,SEC,
2018,4,119,Los Angeles Chargers,Kyzir White ,S,West Virginia,Big 12,
2018,4,120,Seattle Seahawks,Will Dissly ,TE,Washington,Pac-12,
2018,4,121,Buffalo Bills,Taron Johnson ,CB,Weber State,Big Sky,
2018,4,122,Baltimore Ravens,Kenny Young ,LB,UCLA,Pac-12,from Kansas City [R4 - 11]
2018,4,123,Miami Dolphins,Durham Smythe ,TE,Notre Dame,Ind. (FBS),from Carolina via Cleveland [R4 - 12]
2018,4,124,Kansas City Chiefs,Armani Watts ,S,Texas A&M,SEC,from LA Rams [R4 - 13]
2018,4,125,Philadelphia Eagles,Avonte Maddox ,CB,Pittsburgh,ACC,from Tennessee via Baltimore [R4 - 14]
2018,4,126,Atlanta Falcons,Ito Smith ,RB,Southern Miss,C-USA,
2018,4,127,New Orleans Saints,Rick Leonard ,OT,Florida State,ACC,
2018,4,128,San Francisco 49ers,Kentavius Street ,DE,NC State,ACC,from Pittsburgh [R4 - 15]
2018,4,129,Jacksonville Jaguars,Will Richardson ,OT,NC State,ACC,
2018,4,130,Philadelphia Eagles,Josh Sweat ,DE,Florida State,ACC,from Minnesota [R4 - 16]
2018,4,131,Miami Dolphins,Kalen Ballage ,RB,Arizona State,Pac-12,from New England via Philadelphia [R4 - 17]
2018,4,132,Baltimore Ravens,Jaleel Scott ,WR,New Mexico State,Sun Belt,from Philadelphia [R4 - 18]
2018,4,133,Green Bay Packers,J'Mon Moore ,WR,Missouri,SEC,
2018,4,134,Arizona Cardinals,Chase Edmonds ,RB,Fordham,Patriot,
2018,4,135,Los Angeles Rams,John Franklin-Myers ,DE,Stephen F. Austin,Southland,from NY Giants [R4 - 19]
2018,4,136,Carolina Panthers,Marquis Haynes ,DE,Ole Miss,SEC,from New England via LA Rams [R4 - 20]
2018,4,137,Dallas Cowboys,Dalton Schultz ,TE,Stanford,Pac-12,
2018,5,138,Green Bay Packers,Cole Madison ,G,Washington State,Pac-12,from Cleveland [R5 - 1]
2018,5,139,New York Giants,RJ McIntosh ,DT,Miami (FL),ACC,
2018,5,140,Oakland Raiders,Maurice Hurst ,DT,Michigan,Big Ten,from Indianapolis [R5 - 2]
